"","x"
"1","PPP1R21"
"2","FHL2"
"3","SLC2A1-AS1"
"4","SFMBT1"
"5","MEGF6"
"6","CHD5"
"7","POU4F2"
"8","GFI1"
"9","LOC375196"
"10","CDK5R2"
"11","SYT6"
"12","LOC148696"
"13","ATP13A2"
"14","AMER3"
"15","ZBTB18"
"16","OLFM3"
"17","FGF2"
"18","SLC25A38"
"19","PPP1R12B"
"20","DNER"
"21","GPR62"
"22","RERE"
"23","EDARADD"
"24","FHL2"
"25","M1AP"
"26","ACKR2"
"27","PROK2"
"28","SST"
"29","KCNK12"
"30","F5"
"31","LINC01816"
"32","TXNDC12"
"33","GRID2"
"34","SRSF11"
"35","SLC6A6"
"36","HIVEP3"
"37","TPRG1L"
"38","EIF4A2"
"39","CAPN2"
"40","MARCH4"
"41","BBS12"
"42","TBX15"
"43","LPP"
"44","LOC375196"
"45","AMOTL2"
"46","CAPZB"
"47","CHIC2"
"48","SKI"
"49","LRCH3"
"50","ESPN"
"51","LIMD1"
"52","ACOT7"
"53","SRM"
"54","SNED1"
"55","CCDC149"
"56","MXD4"
"57","ABHD14B"
"58","WDR17"
"59","SH3BP5"
"60","ARID5A"
"61","ZYG11A"
"62","RGS5"
"63","SNORA14B"
"64","CLOCK"
"65","TSGA10"
"66","MIR4695"
"67","CDK11B"
"68","CD58"
"69","IP6K1"
"70","TRIM45"
"71","KALRN"
"72","TLR9"
"73","GNG12-AS1"
"74","TP73"
"75","PRICKLE2"
"76","CD46"
"77","MFSD4A"
"78","RNF187"
"79","GSTM2"
"80","CLASP1"
"81","SLC6A1-AS1"
"82","ISY1-RAB43"
"83","DIRAS3"
"84","PTGS2"
"85","ZDBF2"
"86","CYBRD1"
"87","GJA8"
"88","IQCC"
"89","VEGFC"
"90","LRAT"
"91","RPA2"
"92","CASZ1"
"93","MIR4251"
"94","CERKL"
"95","SPSB1"
"96","ATP1B1"
"97","RPS6KA1"
"98","GPR55"
"99","BARHL2"
"100","MIR4437"
"101","DIRAS3"
"102","LRAT"
"103","TWIST2"
"104","PDE5A"
"105","MEIS1-AS3"
"106","RAB17"
"107","ACTN2"
"108","BOK"
"109","TRIM59"
"110","MIR4251"
"111","DHX36"
"112","RARB"
"113","CRABP2"
"114","OSR1"
"115","SIX3"
"116","OLFML2B"
"117","HYI"
"118","ZIC1"
"119","MIR556"
"120","SHE"
"121","GFI1"
"122","TOP2B"
"123","CD247"
"124","NUAK2"
"125","ZNF518B"
"126","ZNF827"
"127","IGSF11-AS1"
"128","ARIH2OS"
"129","EGLN1"
"130","C2orf54"
"131","C4orf3"
"132","NR5A2"
"133","VASH2"
"134","TAMM41"
"135","SLC10A4"
"136","TMEM56"
"137","STOX2"
"138","VAX2"
"139","LOC100128164"
"140","SYF2"
"141","FIGN"
"142","LOC100129534"
"143","P3H2"
"144","PBXIP1"
"145","DUSP10"
"146","SNED1"
"147","FHAD1"
"148","MYT1L"
"149","IRAK2"
"150","DTNB"
"151","VANGL1"
"152","PLXND1"
"153","DPY30"
"154","TIPARP"
"155","RASSF5"
"156","MECOM"
"157","ACTG2"
"158","TMIE"
"159","C1orf94"
"160","ZBTB49"
"161","LINC00578"
"162","ACBD3"
"163","TTC14"
"164","KLHL24"
"165","ROPN1"
"166","FAAH"
"167","RPS7P5"
"168","ST6GALNAC5"
"169","TRIM60"
"170","PAX7"
"171","HSPA6"
"172","TLR1"
"173","TRIM33"
"174","GFI1"
"175","BRINP2"
"176","EXOSC9"
"177","BOK"
"178","SLC6A6"
"179","FLNB"
"180","LOC100129917"
"181","CNOT6L"
"182","HES2"
"183","LINC01191"
"184","ZDHHC18"
"185","NR1D2"
"186","MINOS1-NBL1"
"187","SCOC"
"188","EN1"
"189","H6PD"
"190","EML6"
"191","CENPA"
"192","DHX36"
"193","ZIC1"
"194","DHCR24"
"195","DIRAS3"
"196","NFIA"
"197","DCUN1D1"
"198","PEX14"
"199","ACTRT2"
"200","SNORA80B"
"201","INSIG2"
"202","HAT1"
"203","PDZK1IP1"
"204","LRRC52"
"205","UHMK1"
"206","FRRS1"
"207","ZEB2"
"208","LINC00578"
"209","CENPF"
"210","NYAP2"
"211","NEURL3"
"212","MIR1324"
"213","S100A6"
"214","LINC00887"
"215","UBA7"
"216","GATA2"
"217","PLEKHG5"
"218","VWA5B1"
"219","KIF26B"
"220","GYPC"
"221","PLXNA2"
"222","MIR4417"
"223","PNKD"
"224","MIR548AP"
"225","GBX2"
"226","MIR5087"
"227","EAF1"
"228","NCK2"
"229","MMEL1"
"230","GRM2"
"231","TTC14"
"232","STK32B"
"233","INTU"
"234","MRPL20"
"235","ST6GAL1"
"236","PTGFR"
"237","SLC25A36"
"238","LRRC52"
"239","TNIP2"
"240","GFI1"
"241","OTX1"
"242","UGT2B28"
"243","VGLL3"
"244","SFT2D3"
"245","PLPP3"
"246","LOC729970"
"247","DANCR"
"248","ESRRG"
"249","VIPR1"
"250","NUDT16P1"
"251","VPS8"
"252","PGBD5"
"253","ZYG11A"
"254","KCNAB2"
"255","RIOX2"
"256","PLEKHA6"
"257","SST"
"258","HDAC4"
"259","CD47"
"260","TIMP4"
"261","TRAPPC3"
"262","NVL"
"263","LYPD6B"
"264","TCEA3"
"265","PRDM2"
"266","ATPAF1"
"267","HYI"
